nimi,id,muuttuja
Paltamo,185,98
Puolanka,209,91
Hyrynsalmi,040,92
Kuhmo,112,84
Valtimo,291,86
Juuka,061,99
Kaavi,069,104
Heinävesi,033,99
Outokumpu,182,110
Polvijärvi,200,128
Liperi,141,93
Rääkkylä,234,100
Pyhäselkä,503,113
Kontiolahti,105,100
Eno,331,94
Ilomantsi,049,91
Suomussalmi,261,83
Kuusamo,119,115
Savukoski,243,76
Inari,051,107
Utsjoki,284,93
Sodankylä,253,108
Kittilä,098,92
Pelkosenniemi,190,95
Salla,236,101
Posio,205,101
Taivalkoski,266,106
Pudasjärvi,206,115
Ylikiiminki,603,92
Kiiminki,393,119
Yli-Ii,602,94
Ranua,222,99
Simo,250,106
Tervola,271,105
Haukipudas,338,104
Oulu,181,98
Oulunsalo,473,89
Hailuoto,022,145
Kemin mlk,637,93
Ylitornio,306,103
Pello,191,104
Kolari,103,96
Muonio,161,90
Enontekiö,011,111
Kaskinen,081,89
Pietarsaari,197,102
Oulainen,180,99
Merijärvi,155,82
Pyhäjoki,212,97
Alavieska,003,90
Ylivieska,307,106
Sievi,245,86
Toholampi,274,116
Ullava,570,110
Kaustinen,085,106
Kannus,076,81
Himanka,344,116
Lohtaja,440,94
Kälviä,426,76
Kruunupyy,111,103
Evijärvi,015,117
Lappajärvi,129,91
Alajärvi,002,103
Vimpeli,301,86
Veteli,297,88
Halsua,023,94
Perho,192,108
Lestijärvi,137,113
Karstula,079,94
Kyyjärvi,120,95
Soini,254,92
Pylkönmäki,504,98
Multia,160,104
Keuruu,093,90
Ähtäri,310,76
Lehtimäki,435,93
Töysä,569,88
Kuortane,116,96
Alavus,004,109
Kihniö,094,104
Karvia,080,91
Jalasjärvi,615,124
Nurmo,469,107
Lapua,131,103
Kauhava,083,107
Kortesjärvi,407,106
Alahärmä,314,91
Ylihärmä,601,88
Ylistaro,605,98
Isokyrö,054,109
Laihia,125,94
Teuva,272,102
Jurva,359,96
Ilmajoki,048,104
Kurikka,117,91
Kauhajoki,082,101
Karijoki,077,108
Isojoki,053,91
Siikainen,246,98
Honkajoki,037,104
Kankaanpää,074,102
Lavia,434,83
Noormarkku,465,107
Pomarkku,201,110
Nakkila,170,89
Harjavalta,028,118
Kiukainen,396,91
Eura,013,132
Säkylä,264,89
Yläne,607,100
Oripää,178,105
Vampula,581,101
Köyliö,617,87
Kokemäki,101,109
Kiikoinen,392,94
Huittinen,038,104
Alastaro,315,95
Punkalaidun,208,100
Humppila,039,95
Jokioinen,057,102
Urjala,282,97
Vesilahti,296,105
Hämeenkyrö,042,96
Mouhijärvi,456,88
Jämijärvi,065,104
Parkano,188,94
Kuru,417,103
Ruovesi,232,83
Mänttä,461,92
Jämsänkoski,361,89
Juupajoki,062,82
Kuhmalahti,409,99
Padasjoki,183,97
Tuulos,564,97
Lammi,428,92
Koski Hl,651,103
Janakkala,055,92
Hauho,337,99
Hämeenlinna,043,76
Kalvola,368,97
Pirkkala,199,109
Kylmäkoski,421,109
Forssa,017,101
Tammela,268,94
Suomusjärvi,544,95
Karjalohja,376,92
Sammatti,526,100
Siuntio,252,77
Vihti,299,117
Karkkila,078,104
Renko,511,100
Loppi,144,99
Riihimäki,228,93
Hausjärvi,031,102
Hyvinkää,041,103
Tuusula,279,99
Järvenpää,067,109
Kerava,092,105
Helsingin mlk,696,85
Helsinki,034,112
Kauniainen,084,98
Espoo,012,107
Nurmijärvi,175,107
Kirkkonummi,096,110
Karjaa,373,109
Pohja,492,102
Kisko,395,91
Muurla,459,99
Pertteli,480,94
Kiikala,390,110
Ypäjä,309,109
Kuusjoki,420,100
Koski Tl,107,73
Mellilä,449,90
Marttila,153,93
Salo,237,95
Perniö,479,112
Kemiö,385,105
Sauvo,240,96
Tarvasjoki,555,92
Aura,007,123
Lieto,139,89
Rusko,233,115
Vahto,576,105
Nousiainen,173,93
Masku,154,89
Raisio,220,95
Naantali,169,110
Västanfjärd,599,109
Kökar,123,100
Sottunga,258,103
Lemu,437,103
Merimasku,450,80
Vehmaa,294,104
Lappi,430,115
Laitila,126,105
Pyhäranta,215,102
Luvia,613,87
Merikarvia,156,103
Eckerö,009,95
Geta,019,104
Sund,260,89
Lumparland,148,71
Lemland,134,95
Maarianhamina,657,106
Jomala,058,122
Saltvik,238,110
Hammarland,025,96
Kempele,091,100
Paimio,184,100
Askainen,324,105
Mäntyharju,168,93
Pyhtää,211,98
Pernaja,478,110
Sipoo,251,113
Inkoo,052,83
Dragsfjärd,329,115
Särkisalo,548,87
Halikko,335,109
Eurajoki,014,88
Parainen,186,106
Piikkiö,489,102
Kaarina,068,114
Nauvo,463,111
Korppoo,406,101
Houtskari,347,93
Rymättylä,519,110
Kumlinge,114,79
Brändö,008,106
Iniö,353,95
Velkua,586,136
Kustavi,118,87
Taivassalo,267,101
Finström,016,103
Vårdö,304,117
Föglö,018,87
Oravainen,470,111
Luoto,149,83
Kemi,087,100
Porvoo,204,94
Porvoon mlk,495,89
Lohja,142,106
Lohjan mlk,689,102
Nummi,625,102
Pusula,499,118
Hanko,027,105
Tenhola,559,100
Bromarv,327,81
Viljakkala,591,91
Ylöjärvi,308,97
Suodenniemi,540,117
Kiikka,391,105
Keikyä,383,118
Ulvila,281,94
Kullaa,411,113
Kodisjoki,398,99
Rauman mlk,508,81
Rauma,223,104
Lokalahti,442,88
Kalanti,367,118
Loimaa,143,83
Mietoinen,454,90
Mynämäki,164,100
Karjala,375,113
Karinainen,372,109
Pöytyä,217,108
Jämsä,066,105
Kuorevesi,415,100
Längelmäki,445,120
Kangasala,072,93
Sahalahti,522,113
Pälkäne,216,96
Luopioinen,444,91
Viiala,588,107
Toijala,562,100
Somero,255,104
Somerniemi,534,107
Parikkala,187,100
Uukuniemi,574,98
Saari,521,108
Lappeenranta,130,94
Nuijamaa,466,93
Karhula,371,98
Kotka,108,100
Kymi,422,86
Hamina,024,114
Heinola,032,86
Heinolan mlk,341,98
Haukivuori,339,96
Anttola,322,118
Jäppilä,362,97
Virtasalmi,593,96
Pieksämäki,195,85
Pieksämäen mlk,484,82
Varkaus,293,112
Kangaslampi,369,103
Tuupovaara,565,107
Joensuu,056,87
Kiihtelysvaara,389,95
Värtsilä,598,75
Tohmajärvi,273,111
Vehmersalmi,585,113
Konginkangas,403,101
Suolahti,542,96
Äänekoski,311,99
Sumiainen,539,112
Peräseinäjoki,481,104
Seinäjoki,244,122
Vöyri,305,114
Purmo,498,111
Ähtävä,609,98
Pietarsaaren mlk,681,95
Kaarlela,364,94
Kokkola,102,103
Kajaani,070,94
Kajaanin mlk,365,109
Vuolijoki,596,86
Temmes,558,94
Tyrnävä,280,104
Siikajoki,247,98
Pattijoki,477,100
Kuivaniemi,410,86
Ii,044,92
Rovaniemi,230,112
Rovaniemen mlk,515,106
Pirttikylä,491,109
Ylimarkku,604,86
Närpiö,176,100
Sippola,639,98
Anjala,319,98
Vehkalahti,584,90
Munsala,457,95
Jepua,356,111
Loimaan mlk,687,85
Metsämaa,452,105
Tottijärvi,563,106
Karkku,377,99
Vammala,580,89
Tyrvää,567,105
Tiukka,561,99
Lapväärtti,431,115
Siipyy,530,101
Kristiinankaupunki,110,95
Valkeakoski,290,117
Sääksmäki,551,109
Suoniemi,545,104
Nokia,172,87
Raippaluoto,506,103
Koivulahti,402,114
Raahe,218,112
Saloinen,525,117
Rautio,509,115
Kalajoki,071,105
Paavola,475,116
Revonlahti,512,91
Paattinen,474,113
Turku,277,104
Nurmes,174,104
Nurmeksen mlk,468,105
Kemijärvi,088,94
Kemijärven mlk,384,102
Eräjärvi,332,119
Orivesi,179,97
Petolahti,482,84
Maalahti,151,104
Teisko,557,101
Tampere,269,81
Lempäälä,135,85
Ikaalinen,047,107
Ikaalisten mlk,638,102
Ahlainen,312,95
Pori,202,95
Hattula,030,93
Tyrväntö,566,100
Säyneinen,549,73
Haapasaari,334,102
Sääminki,552,102
Lieksa,138,85
Pielisjärvi,487,105
Uusikaarlepyy,286,98
Tornio,276,101
Alatornio,316,108
Karunki,380,110
Mikkeli,158,100
Mikkelin mlk,455,85
Vähäkyrö,597,97
Maksamaa,448,89
Uudenkaarlepyyn mlk,572,104
Simpele,531,108
Rautjärvi,226,94
Björköby,326,97
Bergö,325,106
Korsnäs,106,86
Juankoski,614,94
Muuruvesi,460,97
Riistavesi,513,130
Kuopio,115,94
Ruotsinpyhtää,516,86
Tammisaari,554,108
Tammisaaren mlk,553,120
Snappertuna,532,103
Sulva,538,116
Mustasaari,162,116
Vaasa,289,87
Pohjaslahti,493,92
Virrat,303,95
Vilppula,592,102
Uusikaupunki,287,112
Pyhämaa,502,102
